      CLEAR        WPC         UP        DWN      PC IN         SP  PC OUTPUT
          1          0          0          0       0000        000       0000
          0          0          0          0       0023        000       0000
          0          0          0          0       0839        000       0001
          0          0          0          0       0000        000       0002
          0          1          1          0       0009        000       0003
          0          0          0          0       0023        000       0009
          0          0          0          0       0839        000       0009
          0          0          0          0       0000        000       000A
          0          1          1          0       0013        000       000B
          0          1          0          0       0001        000       0013
          0          0          0          0       0023        001       0001
          0          0          0          0       0839        001       0002
          0          0          0          0       0000        001       0003
          0          1          1          0       0019        001       0004
          0          0          0          0       0023        001       0019
          0          0          0          0       0839        001       0019
          0          0          0          0       0000        001       001A
          0          0          0          0       0023        001       001B
          0          0          0          0       0839        001       001C
          0          0          0          0       0000        001       001D
          0          0          0          0       0023        001       001E
          0          0          0          0       0839        001       001F
          0          0          0          0       0000        001       0020
