            ADDRESS                 WD            DATA IN           DATA OUT
               0072                  1               2362               XXXX
               0072                  0               0000               2362
               0056                  1               0127               XXXX
               0056                  0               0000               0127
               0123                  1               0033               XXXX
               0123                  0               0000               0033
               0061                  1               0090               XXXX
               0061                  0               0000               0090
               0084                  1               0232               XXXX
               0084                  0               0000               0232
               0028                  1               0999               XXXX
               0028                  0               0000               0999
